name, ID, thickness (thickinthehead)
ctx-lh-unknown, 1000, 2.801
ctx-lh-bankssts, 1001, 3.943
ctx-lh-caudalanteriorcingulate, 1002, 4.028
ctx-lh-caudalmiddlefrontal, 1003, 3.935
ctx-lh-cuneus, 1005, 2.907
ctx-lh-entorhinal, 1006, 4.887
ctx-lh-fusiform, 1007, 4.655
ctx-lh-inferiorparietal, 1008, 3.724
ctx-lh-inferiortemporal, 1009, 4.603
ctx-lh-isthmuscingulate, 1010, 3.836
ctx-lh-lateraloccipital, 1011, 3.519
ctx-lh-lateralorbitofrontal, 1012, 4.256
ctx-lh-lingual, 1013, 3.077
ctx-lh-medialorbitofrontal, 1014, 3.938
ctx-lh-middletemporal, 1015, 4.470
ctx-lh-parahippocampal, 1016, 4.121
ctx-lh-paracentral, 1017, 3.193
ctx-lh-parsopercularis, 1018, 4.100
ctx-lh-parsorbitalis, 1019, 4.065
ctx-lh-parstriangularis, 1020, 3.725
ctx-lh-pericalcarine, 1021, 2.560
ctx-lh-postcentral, 1022, 2.984
ctx-lh-posteriorcingulate, 1023, 3.901
ctx-lh-precentral, 1024, 3.390
ctx-lh-precuneus, 1025, 3.517
ctx-lh-rostralanteriorcingulate, 1026, 4.411
ctx-lh-rostralmiddlefrontal, 1027, 3.711
ctx-lh-superiorfrontal, 1028, 4.044
ctx-lh-superiorparietal, 1029, 3.104
ctx-lh-superiortemporal, 1030, 4.261
ctx-lh-supramarginal, 1031, 3.644
ctx-lh-frontalpole, 1032, 4.363
ctx-lh-temporalpole, 1033, 5.394
ctx-lh-transversetemporal, 1034, 3.462
ctx-lh-insula, 1035, 4.725
ctx-rh-unknown, 2000, 2.419
ctx-rh-bankssts, 2001, 4.533
ctx-rh-caudalanteriorcingulate, 2002, 4.223
ctx-rh-caudalmiddlefrontal, 2003, 3.752
ctx-rh-cuneus, 2005, 2.895
ctx-rh-entorhinal, 2006, 5.553
ctx-rh-fusiform, 2007, 4.639
ctx-rh-inferiorparietal, 2008, 3.843
ctx-rh-inferiortemporal, 2009, 4.729
ctx-rh-isthmuscingulate, 2010, 3.938
ctx-rh-lateraloccipital, 2011, 3.877
ctx-rh-lateralorbitofrontal, 2012, 4.254
ctx-rh-lingual, 2013, 3.495
ctx-rh-medialorbitofrontal, 2014, 4.167
ctx-rh-middletemporal, 2015, 4.630
ctx-rh-parahippocampal, 2016, 4.154
ctx-rh-paracentral, 2017, 3.380
ctx-rh-parsopercularis, 2018, 4.210
ctx-rh-parsorbitalis, 2019, 4.100
ctx-rh-parstriangularis, 2020, 3.813
ctx-rh-pericalcarine, 2021, 2.654
ctx-rh-postcentral, 2022, 2.879
ctx-rh-posteriorcingulate, 2023, 3.884
ctx-rh-precentral, 2024, 3.423
ctx-rh-precuneus, 2025, 3.861
ctx-rh-rostralanteriorcingulate, 2026, 4.425
ctx-rh-rostralmiddlefrontal, 2027, 3.703
ctx-rh-superiorfrontal, 2028, 3.927
ctx-rh-superiorparietal, 2029, 3.094
ctx-rh-superiortemporal, 2030, 4.164
ctx-rh-supramarginal, 2031, 3.590
ctx-rh-frontalpole, 2032, 4.513
ctx-rh-temporalpole, 2033, 5.304
ctx-rh-transversetemporal, 2034, 3.358
ctx-rh-insula, 2035, 4.573
