ID, volume
1002, 3297.994
1003, 7710.985
1005, 3698.993
1006, 2062.996
1007, 12678.975
1008, 12871.975
1009, 11975.976
1010, 2908.994
1011, 11897.977
1012, 9464.981
1013, 6780.987
1014, 6169.988
1015, 14403.972
1016, 1851.996
1017, 4057.992
1018, 4869.990
1019, 2043.996
1020, 5281.990
1021, 1963.996
1022, 11678.977
1023, 3868.992
1024, 13752.973
1025, 10808.979
1026, 4269.992
1027, 12508.975
1028, 23349.954
1029, 9447.981
1030, 16979.967
1031, 11801.977
1034, 1356.997
1035, 6182.988
4, 9506.981
5, 3.000
10, 8687.983
11, 3027.994
12, 4029.992
13, 1419.997
17, 3276.994
18, 792.998
26, 302.999
28, 4964.990
30, 1.000
2002, 2544.995
2003, 5529.989
2005, 3921.992
2006, 2538.995
2007, 10553.979
2008, 14194.972
2009, 11559.977
2010, 2579.995
2011, 14474.972
2012, 9506.981
2013, 8323.984
2014, 5788.989
2015, 14386.972
2016, 2095.996
2017, 4738.991
2018, 5956.988
2019, 2627.995
2020, 4064.992
2021, 2375.995
2022, 10413.980
2023, 3767.993
2024, 13413.974
2025, 10990.978
2026, 3259.994
2027, 12735.975
2028, 28536.944
2029, 10526.979
2030, 16446.968
2031, 10488.979
2034, 1046.998
2035, 6149.988
43, 10875.979
44, 79.000
49, 8454.983
50, 3634.993
51, 3638.993
52, 1369.997
53, 3264.994
54, 663.999
58, 305.999
60, 4723.991
8, 51831.898
47, 52025.898
7, 22066.957
46, 14634.971
16, 15545.969
24, 880.998
